Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1936,-0.16952094,-0.26351926,-0.07552263
1937,-0.019198947,-0.11975877,0.08136088
1938,-0.012200737,-0.110303745,0.08590227
1939,-0.040797204,-0.14670469,0.06511029
1940,0.07593582,-0.041949686,0.19382133
1941,0.0381293,-0.16225392,0.23851252
1942,0.0014060677,-0.19521242,0.19802456
1943,0.0064215823,-0.19958311,0.21242628
1944,0.14410514,-0.05449483,0.3427051
1945,0.043088354,-0.1572829,0.24345961
1946,-0.11881461,-0.26595104,0.028321814
1947,-0.09120561,-0.23179047,0.049379256
1948,-0.12466127,-0.25913337,0.009810847
1949,-0.14380223,-0.25407746,-0.033526964
1950,-0.2266218,-0.33265698,-0.120586626
1951,-0.06115396,-0.15035023,0.028042309
1952,0.015354548,-0.08293598,0.11364508
1953,0.07763075,-0.020529611,0.17579111
1954,-0.11675023,-0.20850272,-0.02499773
1955,-0.19730994,-0.28442997,-0.11018991
1956,-0.26316562,-0.33912566,-0.18720558
1957,-0.035334915,-0.10056861,0.029898778
1958,-0.017632563,-0.08307456,0.04780944
1959,-0.048004813,-0.11036374,0.014354111
1960,-0.11545958,-0.17413756,-0.056781605
1961,-0.019999769,-0.07077983,0.030780297
1962,-0.06404272,-0.117309235,-0.010776198
1963,-0.036810614,-0.09057977,0.016958548
1964,-0.30586153,-0.34949452,-0.26222858
1965,-0.20442048,-0.2536107,-0.15523025
1966,-0.1488976,-0.19840918,-0.09938603
1967,-0.117539294,-0.1606568,-0.07442179
1968,-0.16864756,-0.21327549,-0.12401963
1969,-0.03138624,-0.071891375,0.009118891
1970,-0.08506408,-0.12605265,-0.044075526
1971,-0.20588905,-0.24447224,-0.16730586
1972,-0.09379131,-0.1316835,-0.055899136
1973,0.04995016,0.013479018,0.0864213
1974,-0.17252657,-0.21022564,-0.13482748
1975,-0.110754214,-0.15130511,-0.07020333
1976,-0.2158369,-0.25586063,-0.17581315
1977,0.1030885,0.06005668,0.14612031
1978,0.0052559716,-0.034596615,0.045108557
1979,0.09085814,0.062358625,0.11935765
1980,0.19607204,0.16280398,0.2293401
1981,0.25001204,0.21939126,0.28063282
1982,0.034268282,-0.0051086354,0.0736452
1983,0.22380984,0.18804431,0.25957537
1984,0.04799352,0.011540157,0.08444688
1985,0.049729742,0.015663432,0.08379605
1986,0.09568698,0.064408004,0.12696595
1987,0.2430264,0.21218552,0.27386728
1988,0.2821517,0.24703526,0.31726816
1989,0.1792503,0.14449841,0.21400218
1990,0.36058238,0.32456872,0.39659604
1991,0.33889654,0.30403617,0.3737569
1992,0.12489683,0.09088211,0.15891157
1993,0.16570719,0.12821673,0.20319764
1994,0.23354979,0.19841295,0.26868662
1995,0.37686613,0.34365577,0.41007653
1996,0.27668938,0.24318002,0.31019875
1997,0.4223085,0.39009085,0.4545262
1998,0.5773417,0.54306877,0.61161464
1999,0.32448497,0.29283476,0.3561352
2000,0.33108476,0.29822785,0.36394167
2001,0.48928034,0.4580683,0.5204924
2002,0.5434665,0.51278186,0.57415116
2003,0.54417014,0.5112426,0.5770977
2004,0.46737072,0.43433833,0.5004031
2005,0.6068625,0.5757053,0.63801974
2006,0.5725527,0.541973,0.60313237
2007,0.5917013,0.56135315,0.62204945
2008,0.46564984,0.43265733,0.49864236
2009,0.5967816,0.5652556,0.62830764
2010,0.6803714,0.6490759,0.7116668
2011,0.53769773,0.5060012,0.5693943
2012,0.57760704,0.54485524,0.61035883
2013,0.6235753,0.5884838,0.6586669
2014,0.67287165,0.63890487,0.7068384
2015,0.8251144,0.7912871,0.85894173
2016,0.9329271,0.9017635,0.96409065
2017,0.84517425,0.81477475,0.87557375
2018,0.76265407,0.73105204,0.79425603
2019,0.8910726,0.85678726,0.9253579
2020,0.9229205,0.8882981,0.95754296
2021,0.76190555,0.7254577,0.7983534
2022,0.8013053,0.76525766,0.837353
2023,1.1003127,1.0616506,1.1389748
2024,1.1808001,1.1415888,1.2200114
2025,1.1902827,1.0481745,1.332391
